Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
340018138,17877,13,137415.38%,164643072180.83002,₦108850000.00,151156.84%
360416864,17877,13,137415.38%,164643072180.83002,₦99120000.00,166004.79%
366001983,17877,13,137415.38%,164643072180.83002,₦120897280.00,136084.27%
370427033,17877,13,137415.38%,164643072180.83002,₦100604500.00,163553.79%
374402334,17877,13,137415.38%,164643072180.83002,₦111658800.00,147351.94%
422002131,17877,13,137415.38%,164643072180.83002,₦95286000.00,172688.31%
517402407,17877,13,137415.38%,164643072180.83002,₦95775300.00,171805.57%
571000195,17877,13,137415.38%,164643072180.83002,₦100751000.00,163315.82%
614404827,17877,13,137415.38%,164643072180.83002,₦115052000.00,143003.18%
629402121,17877,13,137415.38%,164643072180.83002,₦115891210.00,141966.92%
643001165,17877,13,137415.38%,164643072180.83002,₦141550000.00,116214.43%
660410119,17877,13,137415.38%,164643072180.83002,₦285569350.00,57554.32%
663407576,17877,13,137415.38%,164643072180.83002,₦80468300.00,204506.13%
697002785,17877,13,137415.38%,164643072180.83002,₦100156120.00,164286.43%
750405671,17877,13,137415.38%,164643072180.83002,₦97252000.00,169195.31%
772405014,17877,13,137415.38%,164643072180.83002,₦163157500.00,100810.51%
181459714,17877,12,148875.00%,164643072180.83002,₦115937000.00,141910.81%
216000074,17877,12,148875.00%,164643072180.83002,₦87537970.00,187981.89%
216403431,17877,12,148875.00%,164643072180.83002,₦62000000.00,265453.34%
221015258,17877,12,148875.00%,164643072180.83002,₦79200000.00,207782.67%
228415527,17877,12,148875.00%,164643072180.83002,₦60000000.00,274305.12%
252030765,17877,12,148875.00%,164643072180.83002,₦76288050.00,215717.64%
252032677,17877,12,148875.00%,164643072180.83002,₦83428000.00,197247.50%
298003715,17877,12,148875.00%,164643072180.83002,₦90942275.00,180941.29%
307408395,17877,12,148875.00%,164643072180.83002,₦156240000.00,105278.31%
328002169,17877,12,148875.00%,164643072180.83002,₦60000000.00,274305.12%
375017055,17877,12,148875.00%,164643072180.83002,₦81488000.00,201945.79%
379408140,17877,12,148875.00%,164643072180.83002,₦70748000.00,232617.63%
421430618,17877,12,148875.00%,164643072180.83002,₦61000000.00,269806.68%
422001629,17877,12,148875.00%,164643072180.83002,₦109100000.00,150810.24%
433020078,17877,12,148875.00%,164643072180.83002,₦76131155.00,216162.41%
444004172,17877,12,148875.00%,164643072180.83002,₦60000000.00,274305.12%
447403770,17877,12,148875.00%,164643072180.83002,₦82620405.00,199176.53%
497413852,17877,12,148875.00%,164643072180.83002,₦94036500.00,174984.22%
498000843,17877,12,148875.00%,164643072180.83002,₦88230000.00,186506.68%
512003641,17877,12,148875.00%,164643072180.83002,₦68750000.00,239380.83%
630008272,17877,12,148875.00%,164643072180.83002,₦136200000.00,120783.31%
663407703,17877,12,148875.00%,164643072180.83002,₦101197200.00,162595.28%
680477818,17877,12,148875.00%,164643072180.83002,₦104127920.00,158016.16%
721004304,17877,12,148875.00%,164643072180.83002,₦71028400.00,231698.93%
743000403,17877,12,148875.00%,164643072180.83002,₦84712700.00,194254.65%
